chart_week.x,current_week,title,performer,last_week,peak_pos,wks_on_chart,chart_week.y,rank,uri,artist_names,source,peak_rank,previous_rank,weeks_on_chart,streams
5/13/2023,117,Money Trees,Kendrick Lamar Featuring Jay Rock,138,117,5,5/11/2023,87,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Aftermath,87,101,17,10494555
5/13/2023,118,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,119,89,39,5/11/2023,126,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Urban,94,130,39,9239742
5/13/2023,119,Karma,Taylor Swift Featuring Ice Spice,154,10,9,5/11/2023,91,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Taylor Swift,8,112,11,10254880
5/13/2023,122,Shorty Party,Cartel de Santa Featuring La Kelly,100,25,9,5/11/2023,130,spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly","Babilonia Music, S.A. De C.V.",16,114,10,9135130
5/13/2023,124,Riptide,Vance Joy,123,100,86,5/11/2023,137,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Atlantic Records,85,116,117,8910288
5/13/2023,126,No Role Modelz,J. Cole,133,97,95,5/11/2023,103,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,Roc Nation Records LLC,76,97,94,9865831
5/13/2023,128,Easy On Me,Adele,130,1,82,5/11/2023,149,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Columbia,1,169,82,8559561
5/13/2023,129,Shake It Off,Taylor Swift,137,127,7,5/11/2023,198,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,"Big Machine Records, LLC",143,-1,2,7628964
5/13/2023,132,Without Me,Eminem,139,39,82,5/11/2023,129,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Aftermath,31,120,85,9148779
5/13/2023,133,Yellow,Coldplay,134,68,108,5/11/2023,82,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Parlophone UK,56,109,125,10743716
5/13/2023,137,El Merengue,Marshmello & Manuel Turizo,132,103,8,5/11/2023,61,spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",Sony Music Latin,59,73,10,11740768
5/13/2023,138,Style,Taylor Swift,144,138,7,5/11/2023,88,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,"Big Machine Records, LLC",88,98,8,10468441
5/13/2023,139,Counting Stars,OneRepublic,148,96,110,5/11/2023,167,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Mosley / Interscope,101,146,108,8180714
5/13/2023,141,Sunroof,Nicky Youre & dazy,151,26,50,5/11/2023,194,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Thirty Knots/Columbia,28,195,47,7680837
5/13/2023,142,Everybody Wants To Rule The World,Tears For Fears,152,108,40,5/11/2023,181,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,UMC (Universal Music Catalogue),105,163,35,7898055
5/13/2023,147,Nosso Quadro,Ana Castela,171,95,10,5/11/2023,100,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,"AgroPlay, Ana Castela",AgroPlay,50,96,12,10031819
5/13/2023,150,Dandelions,Ruth B.,168,51,68,5/11/2023,76,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Columbia,34,71,91,10937698
5/13/2023,151,Cupido,TINI,125,69,11,5/11/2023,104,spotify:track:04ndZkbKGthTgYSv3xS7en,TINI,5020 Records,49,94,12,9816423
5/13/2023,156,Rara Vez,Milo j,120,98,8,5/11/2023,60,spotify:track:7MVIfkyzuUmQ716j8U7yGR,"Taiu, Milo j",Universal Music Argentina S.A.,40,53,11,11826579
5/13/2023,157,Watermelon Sugar,Harry Styles,158,9,135,5/11/2023,136,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Columbia,4,138,182,8915777
5/13/2023,168,Rosa Pastel,Peso Pluma & Jasiel Nunez,163,163,2,5/11/2023,192,spotify:track:4LreWoO3cpgiIfrRwbOUSF,"Peso Pluma, Jasiel Nuñez",Double P Records / Prajin Parlay Inc,180,180,2,7715324
5/13/2023,174,When I Was Your Man,Bruno Mars,172,74,32,5/11/2023,158,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,Atlantic Records,72,157,37,8378519
5/13/2023,176,Reminder,The Weeknd,165,109,10,5/11/2023,105,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Universal Republic Records,65,86,22,9810546
5/13/2023,179,All Of The Girls You Loved Before,Taylor Swift,142,10,7,5/11/2023,144,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,Taylor Swift,12,132,8,8756030
5/13/2023,182,Ghost,Justin Bieber,180,16,80,5/11/2023,128,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,RBMG/Def Jam,11,135,86,9149892
5/13/2023,184,Shut Down,BLACKPINK,173,1,29,5/11/2023,185,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,YG Entertainment/Interscope Records,1,164,32,7842827
5/13/2023,190,We Found Love,Rihanna Featuring Calvin Harris,193,47,12,5/11/2023,162,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",Def Jam Recordings,59,153,13,8288437
5/13/2023,191,Normal,Feid,178,75,28,5/11/2023,110,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Feid,UMLE - Latino,57,123,40,9730734
5/13/2023,195,Nonsense,Sabrina Carpenter,187,36,16,5/11/2023,131,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Island Records,17,128,17,9133814
5/13/2023,198,Efecto,Bad Bunny,191,7,52,5/11/2023,124,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Rimas Entertainment LLC,6,124,53,9330530
5/13/2023,199,Di Que Si,Grupo Marca Registrada X Grupo Frontera,177,152,4,5/11/2023,154,spotify:track:0kzN7YAMSbmlHOvxlbQW9y,"Grupo Marca Registrada, Grupo Frontera","RB Music, Inc. (RB Music/Grupo Marca Registrada)",124,172,5,8456480
5/20/2023,1,Ella Baila Sola,Eslabon Armado X Peso Pluma,2,1,8,5/18/2023,1,spotify:track:3qQbCzHBycnDpGskqOWY0E,"Eslabon Armado, Peso Pluma",DEL Records,1,2,9,52183917
5/20/2023,3,Cupid,Fifty Fifty,5,3,9,5/18/2023,163,spotify:track:5mg3VB3Qh7jcR5kAAC4DSV,FIFTY FIFTY,WM Korea,115,115,7,8325081
5/20/2023,5,Flowers,Miley Cyrus,4,1,17,5/18/2023,5,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Columbia,1,5,18,32840251
5/20/2023,7,Kill Bill,SZA,6,1,22,5/18/2023,7,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Top Dawg Entertainment/RCA Records,1,6,23,27446652
5/20/2023,8,Die For You,The Weeknd & Ariana Grande,8,2,62,5/18/2023,24,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Universal Republic Records,12,23,66,17228966
5/20/2023,9,Last Night,Morgan Wallen,10,5,15,5/18/2023,23,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,14,22,15,17638387
5/20/2023,11,Daylight,David Kushner,11,11,4,5/18/2023,6,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,"Miserable Music Group, LLC",5,7,5,28376831
5/20/2023,12,TQG,Karol G x Shakira,12,1,11,5/18/2023,9,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",Universal Music Latino,1,8,12,24262973
5/20/2023,13,As It Was,Harry Styles,13,1,58,5/18/2023,8,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Columbia,1,9,59,24512481
5/20/2023,14,Eyes Closed,Ed Sheeran,46,14,7,5/18/2023,62,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,Ed Sheeran,Atlantic Records UK,27,35,8,12041529
5/20/2023,15,Anti-Hero,Taylor Swift,16,1,29,5/18/2023,22,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Taylor Swift,1,21,30,17929777
5/20/2023,17,Classy 101,Feid x Young Miko,21,17,6,5/18/2023,10,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",UMLE - Latino,8,10,7,23166807
5/20/2023,19,PRC,Peso Pluma X Natanael Cano,15,15,15,5/18/2023,12,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,9,11,16,20963601
5/20/2023,21,I'm Good (Blue),David Guetta & Bebe Rexha,19,2,37,5/18/2023,28,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",Parlophone UK,2,24,38,16711854
5/20/2023,22,People,Libianca,25,22,17,5/18/2023,45,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,5K Records Limited,43,43,18,14629059
5/20/2023,24,Until I Found You,Stephen Sanchez,24,11,52,5/18/2023,168,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Republic Records,20,156,54,8212578
5/20/2023,26,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,20,18,5/18/2023,25,spotify:track:1lRtH4FszTrwwlK5gTSbXO,"Natanael Cano, Peso Pluma, Gabito Ballesteros",WEA Latina,18,18,19,17143585
5/20/2023,27,El Azul,Junior H x Peso Pluma,23,23,9,5/18/2023,14,spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",WEA Latina,14,16,12,20280770
5/20/2023,28,Fast Car,Luke Combs,38,28,7,5/18/2023,154,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,River House Artists/Columbia Nashville,126,133,6,8611790
5/20/2023,29,Yandel 150,Yandel & Feid,31,13,18,5/18/2023,18,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",La Leyenda LLC,8,17,19,19966437
5/20/2023,33,Save Your Tears,The Weeknd & Ariana Grande,32,1,123,5/18/2023,151,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Republic Records,2,151,128,8647088
5/20/2023,34,I Ain't Worried,OneRepublic,33,5,49,5/18/2023,42,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,Interscope Records,7,36,50,14795654
5/20/2023,36,Search & Rescue,Drake,26,2,5,5/18/2023,83,spotify:track:7aRCf5cLOFN1U7kvtChY1G,Drake,OVO/Republic Records,7,65,6,11093335
5/20/2023,37,Like Crazy,Jimin,36,2,7,5/18/2023,29,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,BIGHIT MUSIC,15,31,8,16014055
5/20/2023,38,Chemical,Post Malone,41,16,4,5/18/2023,59,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,Post Malone,Mercury Records/Republic Records,18,48,5,12162943
5/20/2023,39,Another Love,Tom Odell,39,14,106,5/18/2023,39,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,ITNO/Columbia,15,38,110,15051095
5/20/2023,43,Sure Thing,Miguel,42,13,21,5/18/2023,86,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Jive,14,83,23,10827254
5/20/2023,44,El Gordo Trae El Mando,Chino Pacas,55,44,13,5/18/2023,47,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,STREET MOB,27,27,14,13771408
5/20/2023,45,Players,Coi Leray,43,17,18,5/18/2023,94,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Uptown / Republic Records,20,66,17,10658476
5/20/2023,47,Blinding Lights,The Weeknd,44,2,140,5/18/2023,55,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Republic Records,1,55,181,12457676
5/20/2023,48,Snooze,SZA,50,27,22,5/18/2023,67,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Top Dawg Entertainment/RCA Records,32,56,21,11783056
5/20/2023,51,Perfect,Ed Sheeran,56,30,140,5/18/2023,97,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Atlantic Records UK,4,86,322,10423200
5/20/2023,54,Super,SEVENTEEN,37,37,3,5/18/2023,195,spotify:track:3AOf6YEpxQ894FmrwI9k96,SEVENTEEN,PLEDIS Entertainment,83,132,3,7771581
5/20/2023,55,Cruel Summer,Taylor Swift,73,55,8,5/18/2023,40,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Taylor Swift,16,46,15,15025700
5/20/2023,56,La Bachata,Manuel Turizo,58,6,44,5/18/2023,44,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,Sony Music Latin/La Industria,4,40,46,14718079
5/20/2023,57,Starboy,The Weeknd Featuring Daft Punk,52,34,97,5/18/2023,41,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Universal Republic Records,1,34,137,14996330
5/20/2023,59,OMG,NewJeans,54,10,19,5/18/2023,61,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,ADOR,14,50,20,12047132
5/20/2023,60,Que Vuelvas,Carin Leon X Grupo Frontera,65,34,20,5/18/2023,73,spotify:track:6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",BorderKid Records/Sony Music Latin,36,52,20,11524138
5/20/2023,61,Heat Waves,Glass Animals,60,1,123,5/18/2023,100,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Polydor Records,1,90,125,10282399
5/20/2023,62,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",74,62,5,5/18/2023,82,spotify:track:3BKD1PwArikchz2Zrlp1qi,"David Guetta, Anne-Marie, Coi Leray",Parlophone UK,82,106,6,11119683
5/20/2023,64,Bebe Dame,Fuerza Regida X Grupo Frontera,51,17,19,5/18/2023,77,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Rancho Humilde/Street Mob Records,20,54,20,11318856
5/20/2023,65,Under The Influence,Chris Brown,62,3,42,5/18/2023,89,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Chris Brown Entertainment/RCA Records,6,80,43,10816646
5/20/2023,68,Shivers,Ed Sheeran,68,3,87,5/18/2023,170,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Atlantic Records UK,4,159,88,8148896
5/20/2023,70,Me Porto Bonito,Bad Bunny & Chencho Corleone,69,2,53,5/18/2023,64,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Rimas Entertainment LLC,2,53,54,11979496
5/20/2023,72,Mejor Que Yo,"Anuel AA, Mambo Kingz & DJ Luian",-,72,1,5/18/2023,106,spotify:track:1VsHc0qIeyjYOyvN5HIEQG,"Anuel AA, DJ Luian, Mambo Kingz","Hear This Music LLC, GLAD Empire LLC & Real Hasta La Muerte LLC",67,67,2,9965345
5/20/2023,75,Mockingbird,Eminem,66,42,30,5/18/2023,49,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Aftermath,24,45,31,13409150
5/20/2023,77,Hey Mor,Ozuna Featuring Feid,79,27,30,5/18/2023,43,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Aura Music Corp.,14,39,31,14788080
5/20/2023,78,Moonlight,Kali Uchis,75,75,8,5/18/2023,37,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Geffen Records,37,41,10,15163247
5/20/2023,79,Someone You Loved,Lewis Capaldi,72,24,140,5/18/2023,105,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Vertigo Berlin,4,96,227,9996396
5/20/2023,80,Creep,Radiohead,-,80,1,5/18/2023,160,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,XL Recordings,160,-1,1,8436590
5/20/2023,82,Blank Space,Taylor Swift,85,82,39,5/18/2023,60,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,"Big Machine Records, LLC",60,64,75,12120350
5/20/2023,84,Coco Chanel,Eladio Carrion & Bad Bunny,81,22,8,5/18/2023,53,spotify:track:0PB0O24JqAuNdOAFVJljMS,"Eladio Carrion, Bad Bunny",Rimas Entertainment LLC,13,47,9,12950182
5/20/2023,86,Here With Me,d4vd,78,34,26,5/18/2023,31,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Darkroom/Interscope Records,14,28,29,15913816
5/20/2023,89,Ojitos Lindos,Bad Bunny & Bomba Estereo,88,4,53,5/18/2023,84,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Rimas Entertainment LLC,3,68,54,10912668
5/20/2023,90,Sweater Weather,The Neighbourhood,83,25,137,5/18/2023,58,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Columbia,19,58,142,12203669
5/20/2023,91,Believer,Imagine Dragons,89,52,140,5/18/2023,118,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Kid Ina Korner / Interscope,16,120,328,9430504
5/20/2023,92,Lavender Haze,Taylor Swift,91,2,29,5/18/2023,149,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Taylor Swift,2,148,30,8667034
5/20/2023,93,Bones,Imagine Dragons,86,32,61,5/18/2023,65,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Kid Ina Korner / Interscope,26,59,62,11824920
5/20/2023,96,Angels Like You,Miley Cyrus,113,87,3,5/18/2023,32,spotify:track:1daDRI9ahBonbWD8YcxOIB,Miley Cyrus,RCA Records Label,32,42,9,15792608
5/20/2023,97,Karma,Taylor Swift Featuring Ice Spice,119,10,10,5/18/2023,98,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Taylor Swift,8,91,12,10378873
5/20/2023,99,I Wanna Be Yours,Arctic Monkeys,96,71,36,5/18/2023,26,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,Domino Recording Co,26,26,45,17053815
5/20/2023,100,Unstoppable,Sia,99,79,65,5/18/2023,159,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Monkey Puzzle Records/RCA Records,96,150,66,8440433
5/20/2023,101,Viva La Vida,Coldplay,108,101,38,5/18/2023,57,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Parlophone UK,57,78,38,12204287
5/20/2023,105,Money Trees,Kendrick Lamar Featuring Jay Rock,117,105,6,5/18/2023,76,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Aftermath,76,87,18,11343312
5/20/2023,107,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,118,89,40,5/18/2023,135,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Urban,94,126,40,9097189
5/20/2023,108,Just Wanna Rock,Lil Uzi Vert,107,26,30,5/18/2023,133,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Generation Now/Atlantic,30,114,30,9110744
5/20/2023,110,Rich Flex,Drake & 21 Savage,112,1,27,5/18/2023,130,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",OVO / Republic Records,2,113,28,9165334
5/20/2023,111,Las Morras,Peso Pluma & Blessd,97,97,3,5/18/2023,104,spotify:track:7Lkxvfl2rkNYWS4kBDCQtN,"Peso Pluma, Blessd",Prajin Parlay Inc dba Prajina Records / Worms Music / Warner Music Colombia / Warner Music Latina / JM WORLD MUSIC / CIGOL,87,107,5,10076825
5/20/2023,112,Enchanted,Taylor Swift,-,55,6,5/18/2023,88,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,"Big Machine Records, LLC",61,74,20,10817304
5/20/2023,113,El Merengue,Marshmello & Manuel Turizo,137,103,9,5/18/2023,71,spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",Sony Music Latin,59,61,11,11576720
5/20/2023,116,Made You Look,Meghan Trainor,105,6,29,5/18/2023,187,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Epic,8,168,30,7856681
5/20/2023,117,Bad Habit,Steve Lacy,111,8,44,5/18/2023,126,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,L-M Records/RCA Records,10,119,45,9217396
5/20/2023,118,Never Felt So Alone,Labrinth,103,50,5,5/18/2023,136,spotify:track:6unndO70DvZfnXYcYQMyQJ,Labrinth,Columbia,37,95,6,9074225
5/20/2023,119,Style,Taylor Swift,138,119,8,5/18/2023,81,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,"Big Machine Records, LLC",81,88,9,11126179
5/20/2023,121,Ditto,NewJeans,102,8,21,5/18/2023,166,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,ADOR,11,142,22,8266414
5/20/2023,122,Yellow,Coldplay,133,68,109,5/18/2023,52,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Parlophone UK,52,82,126,13007989
5/20/2023,127,Easy On Me,Adele,128,1,83,5/18/2023,147,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Columbia,1,149,83,8675366
5/20/2023,128,La Jumpa,Arcangel & Bad Bunny,116,14,23,5/18/2023,92,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",Rimas Entertainment LLC.,8,70,24,10742498
5/20/2023,133,No Role Modelz,J. Cole,126,97,96,5/18/2023,102,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,Roc Nation Records LLC,76,103,95,10244674
5/20/2023,137,Riptide,Vance Joy,124,100,87,5/18/2023,139,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Atlantic Records,85,137,118,8953297
5/20/2023,141,Shorty Party,Cartel de Santa Featuring La Kelly,122,25,10,5/18/2023,164,spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly","Babilonia Music, S.A. De C.V.",16,130,11,8309276
5/20/2023,144,Without Me,Eminem,132,39,83,5/18/2023,128,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Aftermath,31,129,86,9181776
5/20/2023,145,Nosso Quadro,Ana Castela,147,95,11,5/18/2023,85,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,"AgroPlay, Ana Castela",AgroPlay,50,100,13,10849394
5/20/2023,148,Fin de Semana,Junior H X Oscar Maydon,92,58,17,5/18/2023,79,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Rancho Humilde,45,112,18,11238839
5/20/2023,149,Area Codes,Kaliii,-,149,1,5/18/2023,107,spotify:track:7sliFe6W30tPBPh6dvZsIH,Kaliii,Atlantic Records,107,-1,1,9904217
5/20/2023,151,Counting Stars,OneRepublic,139,96,111,5/18/2023,178,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Mosley / Interscope,101,167,109,8043505
5/20/2023,156,Watermelon Sugar,Harry Styles,157,9,136,5/18/2023,132,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Columbia,4,136,183,9116232
5/20/2023,158,Everybody Wants To Rule The World,Tears For Fears,142,108,41,5/18/2023,171,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,UMC (Universal Music Catalogue),105,181,36,8142506
5/20/2023,164,Dandelions,Ruth B.,150,51,69,5/18/2023,90,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Columbia,34,76,92,10801813
5/20/2023,167,Cupido,TINI,151,69,12,5/18/2023,113,spotify:track:04ndZkbKGthTgYSv3xS7en,TINI,5020 Records,49,104,13,9702390
5/20/2023,171,Normal,Feid,191,75,29,5/18/2023,115,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Feid,UMLE - Latino,57,110,41,9567177
5/20/2023,172,Every Breath You Take,The Police,173,107,44,5/18/2023,196,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Polydor Records,109,-1,78,7748074
5/20/2023,177,Ghost,Justin Bieber,182,16,81,5/18/2023,124,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,RBMG/Def Jam,11,128,87,9274398
5/20/2023,180,When I Was Your Man,Bruno Mars,174,74,33,5/18/2023,134,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,Atlantic Records,72,158,38,9107992
5/20/2023,181,Something Just Like This,The Chainsmokers & Coldplay,196,102,109,5/18/2023,192,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Disruptor Records/Columbia,2,-1,188,7817631
5/20/2023,187,Dog Days Are Over,Florence + The Machine,-,187,1,5/18/2023,125,spotify:track:456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,Universal-Island Records Ltd.,125,-1,1,9235682
5/20/2023,189,Rara Vez,Milo j,156,98,9,5/18/2023,80,spotify:track:7MVIfkyzuUmQ716j8U7yGR,"Taiu, Milo j",Universal Music Argentina S.A.,40,60,12,11155850
5/20/2023,194,Efecto,Bad Bunny,198,7,53,5/18/2023,141,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Rimas Entertainment LLC,6,124,54,8893174
5/20/2023,195,All Of The Girls You Loved Before,Taylor Swift,179,10,8,5/18/2023,150,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,Taylor Swift,12,144,9,8648591
5/20/2023,196,Nonsense,Sabrina Carpenter,195,36,17,5/18/2023,122,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Island Records,17,131,18,9325615
5/20/2023,199,We Found Love,Rihanna Featuring Calvin Harris,190,47,13,5/18/2023,177,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",Def Jam Recordings,59,162,14,8058463
5/27/2023,1,Ella Baila Sola,Eslabon Armado X Peso Pluma,1,1,9,5/25/2023,1,spotify:track:3qQbCzHBycnDpGskqOWY0E,"Eslabon Armado, Peso Pluma",DEL Records,1,1,10,45423378
5/27/2023,5,Flowers,Miley Cyrus,5,1,18,5/25/2023,6,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Columbia,1,5,19,31227733
5/27/2023,8,Die For You,The Weeknd & Ariana Grande,8,2,63,5/25/2023,31,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Universal Republic Records,12,24,67,16649243
5/27/2023,10,Last Night,Morgan Wallen,9,5,16,5/25/2023,26,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,14,23,16,17339004
5/27/2023,11,Kill Bill,SZA,7,1,23,5/25/2023,8,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Top Dawg Entertainment/RCA Records,1,7,24,26482317
5/27/2023,12,Daylight,David Kushner,11,11,5,5/25/2023,7,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,"Miserable Music Group, LLC",5,6,6,27203441
5/27/2023,14,As It Was,Harry Styles,13,1,59,5/25/2023,9,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Columbia,1,8,60,24982933
5/27/2023,15,Tattoo,Loreen,-,15,1,5/25/2023,23,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Universal Music AB,11,11,2,18585210
