chart_week.x,current_week,title,performer,last_week,peak_pos,wks_on_chart,chart_week.y,rank,uri,artist_names,source,peak_rank,previous_rank,weeks_on_chart,streams
4/15/2023,38,El Azul,Junior H x Peso Pluma,59,38,4,4/13/2023,25,spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",WEA Latina,25,30,7,17664379
4/15/2023,40,Blinding Lights,The Weeknd,42,2,135,4/13/2023,52,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Republic Records,1,56,176,12542546
4/15/2023,41,Coco Chanel,Eladio Carrion & Bad Bunny,22,22,3,4/13/2023,30,spotify:track:0PB0O24JqAuNdOAFVJljMS,"Eladio Carrion, Bad Bunny",Rimas Entertainment LLC,13,28,4,16014141
4/15/2023,42,Under The Influence,Chris Brown,41,3,37,4/13/2023,64,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Chris Brown Entertainment/RCA Records,6,66,38,11476532
4/15/2023,43,Hey Mor,Ozuna Featuring Feid,44,27,25,4/13/2023,35,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Aura Music Corp.,14,25,26,15531784
4/15/2023,44,Starboy,The Weeknd Featuring Daft Punk,43,34,92,4/13/2023,36,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Universal Republic Records,1,34,132,15531660
4/15/2023,45,All Of The Girls You Loved Before,Taylor Swift,21,10,3,4/13/2023,55,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,Taylor Swift,12,49,4,12145544
4/15/2023,46,Shorty Party,Cartel de Santa Featuring La Kelly,38,25,5,4/13/2023,66,spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly","Babilonia Music, S.A. De C.V.",16,52,6,11130053
4/15/2023,47,Mockingbird,Eminem,57,42,25,4/13/2023,38,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Aftermath,24,39,26,15296314
4/15/2023,49,Heat Waves,Glass Animals,52,1,118,4/13/2023,67,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Polydor Records,1,81,120,11105809
4/15/2023,52,Ditto,NewJeans,49,8,16,4/13/2023,77,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,ADOR,11,82,17,10417589
4/15/2023,60,La Jumpa,Arcangel & Bad Bunny,51,14,18,4/13/2023,51,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",Rimas Entertainment LLC.,8,42,19,12570629
4/15/2023,61,Shivers,Ed Sheeran,64,3,82,4/13/2023,156,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Atlantic Records UK,4,145,83,7965990
4/15/2023,62,Me Porto Bonito,Bad Bunny & Chencho Corleone,66,2,48,4/13/2023,56,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Rimas Entertainment LLC,2,57,49,12055517
4/15/2023,63,Perfect,Ed Sheeran,56,30,135,4/13/2023,103,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Atlantic Records UK,4,104,317,9506747
4/15/2023,64,Bebe Dame,Fuerza Regida X Grupo Frontera,62,17,14,4/13/2023,69,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Rancho Humilde/Street Mob Records,20,72,15,10900629
4/15/2023,65,Just Wanna Rock,Lil Uzi Vert,55,26,25,4/13/2023,74,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Generation Now/Atlantic,30,76,25,10698530
4/15/2023,66,You Proof,Morgan Wallen,63,22,47,4/13/2023,177,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,91,200,7,7503016
4/15/2023,67,Made You Look,Meghan Trainor,54,6,24,4/13/2023,90,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Epic,8,95,25,9976839
4/15/2023,69,Fast Car,Luke Combs,88,69,2,4/13/2023,140,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,River House Artists/Columbia Nashville,140,-1,1,8209808
4/15/2023,70,El Gordo Trae El Mando,Chino Pacas,73,68,8,4/13/2023,50,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,STREET MOB,50,51,9,12594193
4/15/2023,71,Rich Flex,Drake & 21 Savage,68,1,22,4/13/2023,83,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",OVO / Republic Records,2,71,23,10246456
4/15/2023,72,Here With Me,d4vd,61,34,21,4/13/2023,26,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Darkroom/Interscope Records,14,27,24,17002316
4/15/2023,76,Fin de Semana,Junior H X Oscar Maydon,76,58,12,4/13/2023,61,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Rancho Humilde,45,59,13,11933054
4/15/2023,77,Classy 101,Feid x Young Miko,-,77,1,4/13/2023,32,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",UMLE - Latino,32,67,2,15858873
4/15/2023,79,Que Vuelvas,Carin Leon X Grupo Frontera,79,34,15,4/13/2023,79,spotify:track:6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",BorderKid Records/Sony Music Latin,36,78,15,10347624
4/15/2023,80,Bones,Imagine Dragons,77,32,56,4/13/2023,47,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Kid Ina Korner / Interscope,26,47,57,12974381
4/15/2023,82,10:35,Tiesto Featuring Tate McRae,69,38,19,4/13/2023,120,spotify:track:6BePGk3eCan4FqaW2X8Qy3,"Tiësto, Tate McRae",Atlantic Records,55,111,17,8861278
4/15/2023,84,Sweater Weather,The Neighbourhood,81,25,132,4/13/2023,60,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Columbia,19,63,137,11949807
4/15/2023,88,Someone You Loved,Lewis Capaldi,82,24,135,4/13/2023,76,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Vertigo Berlin,4,114,222,10435272
4/15/2023,89,Cupido,TINI,86,69,7,4/13/2023,62,spotify:track:04ndZkbKGthTgYSv3xS7en,TINI,5020 Records,49,60,8,11872878
4/15/2023,93,Bad Habit,Steve Lacy,84,8,39,4/13/2023,89,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,L-M Records/RCA Records,10,88,40,10022920
4/15/2023,94,Ojitos Lindos,Bad Bunny & Bomba Estereo,89,4,48,4/13/2023,94,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Rimas Entertainment LLC,3,84,49,9863596
4/15/2023,95,Unstoppable,Sia,92,79,60,4/13/2023,129,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Monkey Puzzle Records/RCA Records,96,134,61,8551386
4/15/2023,101,Believer,Imagine Dragons,97,52,135,4/13/2023,119,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Kid Ina Korner / Interscope,16,123,323,8879750
4/15/2023,102,Blank Space,Taylor Swift,96,96,34,4/13/2023,81,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,"Big Machine Records, LLC",81,89,70,10330139
4/15/2023,103,Rara Vez,Milo j,101,101,4,4/13/2023,40,spotify:track:7MVIfkyzuUmQ716j8U7yGR,"Taiu, Milo j",Universal Music Argentina S.A.,40,43,7,14736513
4/15/2023,106,I Wanna Be Yours,Arctic Monkeys,99,71,31,4/13/2023,29,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,Domino Recording Co,26,32,40,16244060
4/15/2023,110,Viva La Vida,Coldplay,104,104,33,4/13/2023,96,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Parlophone UK,96,98,33,9816970
4/15/2023,114,No Role Modelz,J. Cole,116,97,91,4/13/2023,106,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,Roc Nation Records LLC,76,97,90,9468035
4/15/2023,115,Easy On Me,Adele,113,1,78,4/13/2023,154,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Columbia,1,142,78,8006982
4/15/2023,119,Normal,Feid,121,75,24,4/13/2023,91,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Feid,UMLE - Latino,57,85,36,9936485
4/15/2023,120,Nonsense,Sabrina Carpenter,107,36,12,4/13/2023,93,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Island Records,17,90,13,9898391
4/15/2023,121,El Merengue,Marshmello & Manuel Turizo,103,103,4,4/13/2023,78,spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",Sony Music Latin,59,75,6,10396643
4/15/2023,124,Sunroof,Nicky Youre & dazy,132,26,46,4/13/2023,182,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Thirty Knots/Columbia,28,198,44,7467485
4/15/2023,126,Yellow,Coldplay,110,68,104,4/13/2023,102,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Parlophone UK,56,112,121,9520445
4/15/2023,128,Reminder,The Weeknd,111,109,6,4/13/2023,72,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Universal Republic Records,65,77,18,10781548
4/15/2023,129,Dijeron Que No La Iba Lograr,Chinito Pacas X Fuerza Regida,108,108,3,4/13/2023,162,spotify:track:7dR09k1an5JEq7ch0Y5hvV,"Chino Pacas, Fuerza Regida",IGA,83,106,4,7801503
4/15/2023,130,Riptide,Vance Joy,135,100,82,4/13/2023,112,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Atlantic Records,85,126,113,9201945
4/15/2023,132,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,123,89,35,4/13/2023,137,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Urban,94,154,35,8254987
4/15/2023,133,Counting Stars,OneRepublic,125,96,106,4/13/2023,147,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Mosley / Interscope,101,143,104,8100095
4/15/2023,134,Efecto,Bad Bunny,126,7,48,4/13/2023,109,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Rimas Entertainment LLC,6,91,49,9286556
4/15/2023,135,Ghost,Justin Bieber,119,16,76,4/13/2023,105,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,RBMG/Def Jam,11,100,82,9469828
4/15/2023,136,Gangsta's Paradise,Coolio Featuring L.V.,148,21,90,4/13/2023,184,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.","Tommy Boy Music, LLC",40,197,71,7438448
4/15/2023,141,Watermelon Sugar,Harry Styles,138,9,131,4/13/2023,127,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Columbia,4,127,178,8648321
4/15/2023,143,Cruel Summer,Taylor Swift,161,143,3,4/13/2023,101,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Taylor Swift,16,125,10,9604111
4/15/2023,144,Without Me,Eminem,154,39,78,4/13/2023,111,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Aftermath,31,116,81,9206194
